,Country name,Ladder score_2024,Ladder score_2023,Ladder score_2022,Ladder score_2021,Ladder score_2020,Ladder score_2019,Ladder score_2018
0,Afghanistan,1.721,1.859,2.404,2.523,2.566900015,2.566900015,3.632
1,Albania,5.304,5.277,5.199,5.117,4.882699966,4.882699966,4.586
2,Algeria,5.364,5.329,5.122,4.887,5.005099773,5.005099773,5.295
3,Angola,,,,,,,3.795
4,Argentina,6.188,6.024,5.967,5.929,5.974699974,5.974699974,6.388
5,Armenia,5.455,5.342,5.399,5.283,4.676799774,4.676799774,4.321
6,Australia,7.057,7.095,7.162,7.183,7.222799778,7.222799778,7.272
7,Austria,6.905,7.097,7.163,7.268,7.294199944,7.294199944,7.139
8,Azerbaijan,4.893,,,5.171,5.164800167,5.164800167,5.201
9,Azerbaijan*,,,5.173,,,,
10,Bahrain,5.959,6.173,6.647,6.647,6.227300167,6.227300167,6.105
11,Bangladesh,3.886,4.282,5.155,5.025,4.832799911,4.832799911,4.5
12,Belarus,,,,5.534,5.539899826,5.539899826,5.483
13,Belarus*,,,5.821,,,,
14,Belgium,6.894,6.859,6.805,6.834,6.863500118,6.863500118,6.927
15,Belize,,,,,,,5.956
16,Benin,4.377,4.374,4.623,5.045,5.21600008,5.21600008,4.141
17,Bhutan,,,,,,,5.082
18,Bolivia,5.784,5.684,5.6,5.716,5.747499943,5.747499943,5.752
19,Bosnia and Herzegovina,5.877,5.633,5.768,5.813,5.674099922,5.674099922,5.129
20,Botswana,3.383,3.435,,3.467,3.478899956,3.478899956,3.59
21,Botswana*,,,3.471,,,,
22,Brazil,6.272,6.125,6.293,6.33,6.375599861,6.375599861,6.419
23,Bulgaria,5.463,5.466,5.371,5.266,5.101500034,5.101500034,4.933
24,Burkina Faso,4.548,4.638,4.67,4.834,4.768700123,4.768700123,4.424
25,Burundi,,,,3.775,3.775300026,3.775300026,2.905
26,Cambodia,4.341,4.393,4.64,4.83,4.848400116,4.848400116,4.433
27,Cameroon,4.874,4.973,5.048,5.142,5.084899902,5.084899902,4.975
28,Canada,6.9,6.961,7.025,7.103,7.23210001,7.23210001,7.328
29,Central African Republic,,,,,3.475899935,3.475899935,3.083
30,Chad,4.471,4.397,,4.355,4.422699928,4.422699928,4.301
31,Chad*,,,4.251,,,,
32,Chile,6.36,6.334,6.172,6.172,6.228499889,6.228499889,6.476
33,China,5.973,5.818,5.585,5.339,5.123899937,5.123899937,5.246
34,Colombia,5.695,5.63,5.781,6.012,6.163400173,6.163400173,6.26
35,Comoros,3.566,3.545,,4.289,4.288599968,4.288599968,
36,Comoros*,,,4.609,,,,
37,Congo,,,5.075,,,,
38,Congo (Brazzaville),5.221,5.267,,5.342,5.194399834,5.194399834,4.559
39,Congo (Kinshasa),3.295,3.207,,,4.31099987,4.31099987,4.245
40,Costa Rica,6.955,6.609,6.582,7.069,7.121399879,7.121399879,7.072
41,Croatia,5.942,6.125,6.125,5.882,5.504700184,5.504700184,5.321
42,Cyprus,6.068,6.13,6.221,6.223,6.15899992,6.15899992,5.762
43,Czech Republic,,,,6.965,6.910900116,6.910900116,6.711
44,Czechia,6.822,6.845,6.92,,,,
45,Denmark,7.583,7.586,7.636,7.62,7.645599842,7.645599842,7.555
46,Dominican Republic,5.823,5.569,5.737,5.545,5.689199924,5.689199924,5.302
47,Ecuador,5.725,5.559,5.533,5.764,5.925199986,5.925199986,5.973
48,Egypt,3.977,4.17,4.288,4.283,4.151400089,4.151400089,4.419
49,El Salvador,6.469,6.122,6.12,6.061,6.34829998,6.34829998,6.167
50,Estonia,6.448,6.455,6.341,6.189,6.021800041,6.021800041,5.739
51,Eswatini,3.502,,,,,,
52,"Eswatini, Kingdom of*",,,4.396,,,,
53,Ethiopia,3.861,4.091,4.241,4.275,4.186200142,4.186200142,4.35
54,Finland,7.741,7.804,7.821,7.842,7.808700085,7.808700085,7.632
55,France,6.609,6.661,6.687,6.69,6.663799763,6.663799763,6.489
56,Gabon,5.106,5.035,4.958,4.852,4.829299927,4.829299927,4.758
57,Gambia,4.485,4.279,,5.051,4.750599861,4.750599861,
58,Gambia*,,,5.164,,,,
59,Georgia,5.185,5.109,4.973,4.891,4.672599792,4.672599792,4.34
60,Germany,6.719,6.892,7.034,7.155,7.075799942,7.075799942,6.965
61,Ghana,4.289,4.605,4.872,5.088,5.147999763,5.147999763,4.657
62,Greece,5.934,5.931,5.948,5.723,5.514999866,5.514999866,5.358
63,Guatemala,6.287,6.15,,6.435,6.398900032,6.398900032,6.382
64,Guatemala*,,,6.262,,,,
65,Guinea,5.023,5.072,4.891,4.984,4.949299812,4.949299812,3.964
66,Haiti,,,,3.615,3.720799923,3.720799923,3.582
67,Honduras,5.968,6.023,6.022,5.919,5.953199863,5.953199863,5.504
68,Hong Kong,,,,,,,5.43
69,Hong Kong S.A.R. of China,5.316,5.308,5.425,5.477,5.510399818,5.510399818,
70,Hungary,6.017,6.041,6.086,5.992,6.000400066,6.000400066,5.62
71,Iceland,7.525,7.53,7.557,7.554,7.504499912,7.504499912,7.495
72,India,4.054,4.036,3.777,3.819,3.573299885,3.573299885,4.19
73,Indonesia,5.568,5.277,5.24,5.345,5.285600185,5.285600185,5.093
74,Iran,4.923,4.876,4.888,4.721,4.672399998,4.672399998,4.707
75,Iraq,5.166,4.941,4.941,4.854,4.784800053,4.784800053,4.456
76,Ireland,6.838,6.911,7.041,7.085,7.093699932,7.093699932,6.977
77,Israel,7.341,7.473,7.364,7.157,7.128600121,7.128600121,6.814
78,Italy,6.324,6.405,6.467,6.483,6.38740015,6.38740015,6.0
79,Ivory Coast,5.08,5.053,5.235,5.306,5.233300209,5.233300209,4.671
80,Jamaica,5.842,5.703,5.85,6.309,5.889800072,5.889800072,5.89
81,Japan,6.06,6.129,6.039,5.94,5.870800018,5.870800018,5.915
82,Jordan,4.186,4.12,4.152,4.395,4.633399963,4.633399963,5.161
83,Kazakhstan,6.188,6.144,6.234,6.152,6.057899952,6.057899952,5.79
84,Kenya,4.47,4.487,4.543,4.607,4.583000183,4.583000183,4.41
85,Kosovo,6.561,6.368,6.455,6.372,6.325200081,6.325200081,5.662
86,Kuwait,6.951,,,6.106,6.102099895,6.102099895,6.083
87,Kuwait*,,,6.106,,,,
88,Kyrgyzstan,5.714,5.825,5.828,5.744,5.541500092,5.541500092,5.131
89,Laos,5.139,5.111,5.14,5.03,4.888599873,4.888599873,4.623
90,Latvia,6.234,6.213,6.18,6.032,5.949999809,5.949999809,5.933
91,Lebanon,2.707,2.392,2.955,4.584,4.771500111,4.771500111,5.358
92,Lesotho,3.186,,,3.512,3.652800083,3.652800083,3.808
93,Lesotho*,,,3.512,,,,
94,Liberia,4.269,4.042,,4.625,4.557899952,4.557899952,3.495
95,Liberia*,,,5.122,,,,
96,Libya,5.866,,,5.41,5.488800049,5.488800049,5.566
97,Libya*,,,5.33,,,,
98,Lithuania,6.818,6.763,6.446,6.255,6.215499878,6.215499878,5.952
99,Luxembourg,7.122,7.228,,7.324,7.237500191,7.237500191,6.91
100,Luxembourg*,,,7.404,,,,
101,Macedonia,,,,,5.159800053,5.159800053,5.185
102,Madagascar,4.228,4.019,,4.208,4.165599823,4.165599823,3.774
103,Madagascar*,,,4.339,,,,
104,Malawi,3.421,3.495,3.75,3.6,3.538000107,3.538000107,3.587
105,Malaysia,5.975,6.012,5.711,5.384,5.384300232,5.384300232,6.322
106,Maldives,,,,5.198,5.197599888,5.197599888,
107,Mali,4.232,4.198,4.479,4.723,4.729300022,4.729300022,4.447
108,Malta,6.346,6.3,6.447,6.602,6.772799969,6.772799969,6.627
109,Mauritania,4.505,4.724,,4.227,4.374599934,4.374599934,4.356
110,Mauritania*,,,4.153,,,,
111,Mauritius,5.816,5.902,6.071,6.049,6.101299763,6.101299763,5.891
112,Mexico,6.678,6.33,6.128,6.317,6.465000153,6.465000153,6.488
113,Moldova,5.816,5.819,5.857,5.766,5.607500076,5.607500076,5.64
114,Mongolia,5.696,5.84,5.761,5.677,5.456200123,5.456200123,5.125
115,Montenegro,5.707,5.722,5.547,5.581,5.54610014,5.54610014,5.347
116,Morocco,4.795,4.903,5.06,4.918,5.094799995,5.094799995,5.254
117,Mozambique,5.216,4.954,5.048,4.794,4.623600006,4.623600006,4.417
118,Myanmar,4.354,4.372,4.394,4.426,4.308000088,4.308000088,4.308
119,Namibia,4.832,4.631,4.459,4.574,4.571100235,4.571100235,4.441
120,Nepal,5.158,5.36,5.377,5.269,5.137199879,5.137199879,4.88
121,Netherlands,7.319,7.403,7.415,7.464,7.448900223,7.448900223,7.441
122,New Zealand,7.029,7.123,7.2,7.277,7.299600124,7.299600124,7.324
123,Nicaragua,6.284,6.259,6.165,5.972,6.13710022,6.13710022,6.141
124,Niger,4.556,4.501,,5.074,4.909599781,4.909599781,4.166
125,Niger*,,,5.003,,,,
126,Nigeria,4.881,4.981,4.552,4.759,4.724100113,4.724100113,5.155
127,North Cyprus,,,,5.536,5.53550005,5.53550005,
128,North Cyprus*,,,5.467,,,,
129,North Macedonia,5.369,5.254,5.199,5.101,,,
130,Northern Cyprus,,,,,,,5.835
131,Norway,7.302,7.315,7.365,7.392,7.487999916,7.487999916,7.594
132,Pakistan,4.657,4.555,4.516,4.934,5.69329977,5.69329977,5.472
133,Palestinian Territories,,,,4.517,4.552800179,4.552800179,4.743
134,Palestinian Territories*,,,4.483,,,,
135,Panama,6.358,6.265,6.309,6.18,6.304800034,6.304800034,6.43
136,Paraguay,5.977,5.738,5.578,5.653,5.692100048,5.692100048,5.681
137,Peru,5.841,5.526,5.559,5.84,5.796800137,5.796800137,5.663
138,Philippines,6.048,5.523,5.904,5.88,6.006000042,6.006000042,5.524
139,Poland,6.442,6.26,6.123,6.166,6.186299801,6.186299801,6.123
140,Portugal,6.03,5.968,6.016,5.929,5.910900116,5.910900116,5.41
141,Qatar,,,,,,,6.374
142,Romania,6.491,6.589,6.477,6.14,6.123700142,6.123700142,5.945
143,Russia,5.785,5.661,5.459,5.477,5.546000004,5.546000004,5.81
144,Rwanda,,,,3.415,3.312299967,3.312299967,3.408
145,Rwanda*,,,3.268,,,,
146,Saudi Arabia,6.594,6.463,6.523,6.494,6.406499863,6.406499863,6.371
147,Senegal,4.969,4.855,5.046,5.132,4.980800152,4.980800152,4.631
148,Serbia,6.411,6.144,6.178,6.078,5.77820015,5.77820015,5.398
