Country name,Ladder score,Logged GDP per capita,Healthy life expectancy
Finland,7.804,10.792,71.15
Denmark,7.586,10.962,71.25
Iceland,7.53,10.896,72.05
Israel,7.473,10.639,72.697
Netherlands,7.403,10.942,71.55
Sweden,7.395,10.883,72.15
Norway,7.315,11.088,71.5
Switzerland,7.24,11.164,72.9
Luxembourg,7.228,11.66,71.675
New Zealand,7.123,10.662,70.35
Austria,7.097,10.899,71.15
Australia,7.095,10.821,71.05
Canada,6.961,10.773,71.4
Ireland,6.911,11.527,71.3
United States,6.894,11.048,65.85
Germany,6.892,10.879,71.3
Belgium,6.859,10.844,70.899
Czechia,6.845,10.611,69.05
United Kingdom,6.796,10.704,70.3
Lithuania,6.763,10.568,67.397
France,6.661,10.701,72.3
Slovenia,6.65,10.588,71.052
Costa Rica,6.609,9.952,70.0
Romania,6.589,10.339,67.051
Singapore,6.587,11.571,73.8
United Arab Emirates,6.571,11.145,66.243
Taiwan Province of China,6.535,10.797,69.6
Uruguay,6.494,10.037,67.5
Slovakia,6.469,10.353,68.838
Saudi Arabia,6.463,10.715,64.399
Estonia,6.455,10.541,69.65
Spain,6.436,10.54,72.35
Italy,6.405,10.634,72.05
Kosovo,6.368,9.359,65.195
Chile,6.334,10.114,70.3
Mexico,6.33,9.85,65.8
Malta,6.3,10.661,71.6
Panama,6.265,10.305,68.95
Poland,6.26,10.453,69.049
Nicaragua,6.259,8.618,65.65
Latvia,6.213,10.37,66.4
Bahrain,6.173,10.776,65.825
Guatemala,6.15,9.116,62.9
Kazakhstan,6.144,10.166,65.802
Serbia,6.144,9.854,67.088
Cyprus,6.13,10.611,72.802
Japan,6.129,10.616,74.349
Croatia,6.125,10.341,68.95
Brazil,6.125,9.582,65.749
El Salvador,6.122,9.089,65.597
Hungary,6.041,10.419,67.5
Argentina,6.024,9.959,67.2
Honduras,6.023,8.635,64.063
Uzbekistan,6.014,8.948,65.301
Malaysia,6.012,10.169,65.662
Portugal,5.968,10.429,71.25
South Korea,5.951,10.693,73.65
Greece,5.931,10.288,71.15
Mauritius,5.902,9.957,63.85
Thailand,5.843,9.751,68.45
Mongolia,5.84,9.372,60.5
Kyrgyzstan,5.825,8.486,66.852
Moldova,5.819,9.499,65.299
China,5.818,9.738,68.689
Vietnam,5.763,9.287,65.502
Paraguay,5.738,9.51,65.9
Montenegro,5.722,9.813,67.1
Jamaica,5.703,9.165,66.6
Bolivia,5.684,8.985,63.599
Russia,5.661,10.21,64.947
Bosnia and Herzegovina,5.633,9.616,67.275
Colombia,5.63,9.584,69.35
Dominican Republic,5.569,9.811,64.399
Ecuador,5.559,9.27,69.0
Peru,5.526,9.402,69.85
Philippines,5.523,8.979,62.038
Bulgaria,5.466,10.087,66.5
Nepal,5.36,8.256,61.847
Armenia,5.342,9.615,67.789
Tajikistan,5.33,8.237,62.226
Algeria,5.329,9.3,66.549
Hong Kong S.A.R. of China,5.308,10.966,77.28
Albania,5.277,9.567,69.15
Indonesia,5.277,9.385,63.048
South Africa,5.275,9.478,56.989
Congo (Brazzaville),5.267,8.095,56.85
North Macedonia,5.254,9.703,66.5
Venezuela,5.211,5.527,64.05
Laos,5.111,8.962,60.946
Georgia,5.109,9.646,64.95
Guinea,5.072,7.88,54.185
Ukraine,5.071,9.314,64.55
Ivory Coast,5.053,8.576,55.953
Gabon,5.035,9.537,58.252
Nigeria,4.981,8.496,54.891
Cameroon,4.973,8.217,55.847
Mozambique,4.954,7.116,51.53
Iraq,4.941,9.098,63.415
State of Palestine,4.908,8.716,
Morocco,4.903,8.973,63.901
Iran,4.876,9.61,66.6
Senegal,4.855,8.155,59.999
Mauritania,4.724,8.591,60.475
Burkina Faso,4.638,7.667,55.461
Namibia,4.631,9.121,56.851
Turkiye,4.614,10.307,68.663
Ghana,4.605,8.596,58.763
Pakistan,4.555,8.54,57.313
Niger,4.501,7.091,56.55
Tunisia,4.497,9.244,67.0
Kenya,4.487,8.458,58.499
Sri Lanka,4.442,9.491,67.15
Uganda,4.432,7.716,58.913
Chad,4.397,7.261,53.125
Cambodia,4.393,8.385,61.9
Benin,4.374,8.103,56.095
Myanmar,4.372,8.404,61.388
Bangladesh,4.282,8.685,64.548
Gambia,4.279,7.648,57.9
Mali,4.198,7.655,55.403
Egypt,4.17,9.367,63.503
Togo,4.137,7.673,57.449
Jordan,4.12,9.13,67.6
Ethiopia,4.091,7.739,60.698
Liberia,4.042,7.277,56.7
India,4.036,8.759,60.777
Madagascar,4.019,7.29,58.05
Zambia,3.982,8.074,55.032
Tanzania,3.694,7.857,59.401
Comoros,3.545,8.075,59.425
Malawi,3.495,7.302,58.475
Botswana,3.435,9.629,54.725
Congo (Kinshasa),3.207,7.007,55.375
Zimbabwe,3.204,7.641,54.05
Sierra Leone,3.138,7.394,54.9
Lebanon,2.392,9.478,66.149
Afghanistan,1.859,7.324,54.712
