Country name,2018,2019,2020,2021,2022,2023,2024
Afghanistan,3.632,2.566900015,2.566900015,2.523,2.404,1.859,1.721
Albania,4.586,4.882699966,4.882699966,5.117,5.199,5.277,5.304
Algeria,5.295,5.005099773,5.005099773,4.887,5.122,5.329,5.364
Argentina,6.388,5.974699974,5.974699974,5.929,5.967,6.024,6.188
Armenia,4.321,4.676799774,4.676799774,5.283,5.399,5.342,5.455
Australia,7.272,7.222799778,7.222799778,7.183,7.162,7.095,7.057
Austria,7.139,7.294199944,7.294199944,7.268,7.163,7.097,6.905
Azerbaijan,5.201,5.164800167,5.164800167,5.171,,,4.893
Bahrain,6.105,6.227300167,6.227300167,6.647,6.647,6.173,5.959
Bangladesh,4.5,4.832799911,4.832799911,5.025,5.155,4.282,3.886
Belgium,6.927,6.863500118,6.863500118,6.834,6.805,6.859,6.894
Benin,4.141,5.21600008,5.21600008,5.045,4.623,4.374,4.377
Bolivia,5.752,5.747499943,5.747499943,5.716,5.6,5.684,5.784
Bosnia and Herzegovina,5.129,5.674099922,5.674099922,5.813,5.768,5.633,5.877
Botswana,3.59,3.478899956,3.478899956,3.467,,3.435,3.383
Brazil,6.419,6.375599861,6.375599861,6.33,6.293,6.125,6.272
Bulgaria,4.933,5.101500034,5.101500034,5.266,5.371,5.466,5.463
Burkina Faso,4.424,4.768700123,4.768700123,4.834,4.67,4.638,4.548
Cambodia,4.433,4.848400116,4.848400116,4.83,4.64,4.393,4.341
Cameroon,4.975,5.084899902,5.084899902,5.142,5.048,4.973,4.874
Canada,7.328,7.23210001,7.23210001,7.103,7.025,6.961,6.9
Chad,4.301,4.422699928,4.422699928,4.355,,4.397,4.471
Chile,6.476,6.228499889,6.228499889,6.172,6.172,6.334,6.36
China,5.246,5.123899937,5.123899937,5.339,5.585,5.818,5.973
Colombia,6.26,6.163400173,6.163400173,6.012,5.781,5.63,5.695
Congo (Brazzaville),4.559,5.194399834,5.194399834,5.342,,5.267,5.221
Congo (Kinshasa),4.245,4.31099987,4.31099987,,,3.207,3.295
Costa Rica,7.072,7.121399879,7.121399879,7.069,6.582,6.609,6.955
Croatia,5.321,5.504700184,5.504700184,5.882,6.125,6.125,5.942
Cyprus,5.762,6.15899992,6.15899992,6.223,6.221,6.13,6.068
Denmark,7.555,7.645599842,7.645599842,7.62,7.636,7.586,7.583
Dominican Republic,5.302,5.689199924,5.689199924,5.545,5.737,5.569,5.823
Ecuador,5.973,5.925199986,5.925199986,5.764,5.533,5.559,5.725
Egypt,4.419,4.151400089,4.151400089,4.283,4.288,4.17,3.977
El Salvador,6.167,6.34829998,6.34829998,6.061,6.12,6.122,6.469
Estonia,5.739,6.021800041,6.021800041,6.189,6.341,6.455,6.448
Ethiopia,4.35,4.186200142,4.186200142,4.275,4.241,4.091,3.861
Finland,7.632,7.808700085,7.808700085,7.842,7.821,7.804,7.741
France,6.489,6.663799763,6.663799763,6.69,6.687,6.661,6.609
Gabon,4.758,4.829299927,4.829299927,4.852,4.958,5.035,5.106
Georgia,4.34,4.672599792,4.672599792,4.891,4.973,5.109,5.185
Germany,6.965,7.075799942,7.075799942,7.155,7.034,6.892,6.719
Ghana,4.657,5.147999763,5.147999763,5.088,4.872,4.605,4.289
Greece,5.358,5.514999866,5.514999866,5.723,5.948,5.931,5.934
Guatemala,6.382,6.398900032,6.398900032,6.435,,6.15,6.287
Guinea,3.964,4.949299812,4.949299812,4.984,4.891,5.072,5.023
Honduras,5.504,5.953199863,5.953199863,5.919,6.022,6.023,5.968
Hungary,5.62,6.000400066,6.000400066,5.992,6.086,6.041,6.017
Iceland,7.495,7.504499912,7.504499912,7.554,7.557,7.53,7.525
India,4.19,3.573299885,3.573299885,3.819,3.777,4.036,4.054
Indonesia,5.093,5.285600185,5.285600185,5.345,5.24,5.277,5.568
Iran,4.707,4.672399998,4.672399998,4.721,4.888,4.876,4.923
Iraq,4.456,4.784800053,4.784800053,4.854,4.941,4.941,5.166
Ireland,6.977,7.093699932,7.093699932,7.085,7.041,6.911,6.838
Israel,6.814,7.128600121,7.128600121,7.157,7.364,7.473,7.341
Italy,6.0,6.38740015,6.38740015,6.483,6.467,6.405,6.324
Ivory Coast,4.671,5.233300209,5.233300209,5.306,5.235,5.053,5.08
Jamaica,5.89,5.889800072,5.889800072,6.309,5.85,5.703,5.842
Japan,5.915,5.870800018,5.870800018,5.94,6.039,6.129,6.06
Jordan,5.161,4.633399963,4.633399963,4.395,4.152,4.12,4.186
Kazakhstan,5.79,6.057899952,6.057899952,6.152,6.234,6.144,6.188
Kenya,4.41,4.583000183,4.583000183,4.607,4.543,4.487,4.47
Kosovo,5.662,6.325200081,6.325200081,6.372,6.455,6.368,6.561
Kuwait,6.083,6.102099895,6.102099895,6.106,,,6.951
Kyrgyzstan,5.131,5.541500092,5.541500092,5.744,5.828,5.825,5.714
Laos,4.623,4.888599873,4.888599873,5.03,5.14,5.111,5.139
Latvia,5.933,5.949999809,5.949999809,6.032,6.18,6.213,6.234
Lebanon,5.358,4.771500111,4.771500111,4.584,2.955,2.392,2.707
Lesotho,3.808,3.652800083,3.652800083,3.512,,,3.186
Liberia,3.495,4.557899952,4.557899952,4.625,,4.042,4.269
Libya,5.566,5.488800049,5.488800049,5.41,,,5.866
Lithuania,5.952,6.215499878,6.215499878,6.255,6.446,6.763,6.818
Luxembourg,6.91,7.237500191,7.237500191,7.324,,7.228,7.122
